date,equity
2023-05-09,79594.1068584838
2023-05-10,79594.1068584838
2023-05-11,79594.1068584838
2023-05-12,79594.1068584838
2023-05-13,79594.1068584838
2023-05-14,79594.1068584838
2023-05-15,79594.1068584838
2023-05-16,79594.1068584838
2023-05-17,79594.1068584838
2023-05-18,79594.1068584838
2023-05-19,79594.1068584838
2023-05-20,79594.1068584838
2023-05-21,79594.1068584838
2023-05-22,79594.1068584838
2023-05-23,79594.1068584838
2023-05-24,79594.1068584838
2023-05-25,79594.1068584838
2023-05-26,79594.1068584838
2023-05-27,79594.1068584838
2023-05-28,79594.1068584838
2023-05-29,79594.1068584838
2023-05-30,79594.1068584838
2023-05-31,79594.1068584838
2023-06-01,79594.1068584838
2023-06-02,79594.1068584838
2023-06-03,79594.1068584838
2023-06-04,79594.1068584838
2023-06-05,79594.1068584838
2023-06-06,79594.1068584838
2023-06-07,79594.1068584838
2023-06-08,79594.1068584838
2023-06-09,79594.1068584838
2023-06-10,79594.1068584838
2023-06-11,79594.1068584838
2023-06-12,79594.1068584838
2023-06-13,79594.1068584838
2023-06-14,79594.1068584838
2023-06-15,79594.1068584838
2023-06-16,79594.1068584838
2023-06-17,79594.1068584838
2023-06-18,79594.1068584838
2023-06-19,79594.1068584838
2023-06-20,79594.1068584838
2023-06-21,79594.1068584838
2023-06-22,79594.1068584838
2023-06-23,79594.1068584838
2023-06-24,79594.1068584838
2023-06-25,79594.1068584838
2023-06-26,79594.1068584838
2023-06-27,79594.1068584838
2023-06-28,79594.1068584838
2023-06-29,79594.1068584838
2023-06-30,79594.1068584838
2023-07-01,79594.1068584838
2023-07-02,79594.1068584838
2023-07-03,79594.1068584838
2023-07-04,79594.1068584838
2023-07-05,79594.1068584838
2023-07-06,79594.1068584838
2023-07-07,79594.1068584838
2023-07-08,79594.1068584838
2023-07-09,79594.1068584838
2023-07-10,79594.1068584838
2023-07-11,79594.1068584838
2023-07-12,79594.1068584838
2023-07-13,79594.1068584838
2023-07-14,79594.1068584838
2023-07-15,79594.1068584838
2023-07-16,79594.1068584838
2023-07-17,79594.1068584838
2023-07-18,79594.1068584838
2023-07-19,79594.1068584838
2023-07-20,79594.1068584838
2023-07-21,79594.1068584838
2023-07-22,79594.1068584838
2023-07-23,79594.1068584838
2023-07-24,79594.1068584838
2023-07-25,79594.1068584838
2023-07-26,79594.1068584838
2023-07-27,79594.1068584838
2023-07-28,79594.1068584838
2023-07-29,79594.1068584838
2023-07-30,79594.1068584838
2023-07-31,79594.1068584838
2023-08-01,79594.1068584838
2023-08-02,79594.1068584838
2023-08-03,79594.1068584838
2023-08-04,79594.1068584838
2023-08-05,79594.1068584838
2023-08-06,79594.1068584838
2023-08-07,79594.1068584838
2023-08-08,79594.1068584838
2023-08-09,79594.1068584838
2023-08-10,79594.1068584838
2023-08-11,79594.1068584838
2023-08-12,79594.1068584838
2023-08-13,79594.1068584838
2023-08-14,79594.1068584838
2023-08-15,79594.1068584838
2023-08-16,79594.1068584838
2023-08-17,79594.1068584838
2023-08-18,79594.1068584838
2023-08-19,79594.1068584838
2023-08-20,79594.1068584838
2023-08-21,79594.1068584838
2023-08-22,79594.1068584838
2023-08-23,79594.1068584838
2023-08-24,79594.1068584838
2023-08-25,79594.1068584838
2023-08-26,79594.1068584838
2023-08-27,79594.1068584838
2023-08-28,79594.1068584838
2023-08-29,79594.1068584838
2023-08-30,79594.1068584838
2023-08-31,79594.1068584838
2023-09-01,79594.1068584838
2023-09-02,79594.1068584838
2023-09-03,79594.1068584838
2023-09-04,79594.1068584838
2023-09-05,79594.1068584838
2023-09-06,79594.1068584838
2023-09-07,79594.1068584838
2023-09-08,79594.1068584838
2023-09-09,79594.1068584838
2023-09-10,79594.1068584838
2023-09-11,79594.1068584838
2023-09-12,79594.1068584838
2023-09-13,79594.1068584838
2023-09-14,79594.1068584838
2023-09-15,79594.1068584838
2023-09-16,79594.1068584838
2023-09-17,79594.1068584838
2023-09-18,79594.1068584838
2023-09-19,79594.1068584838
2023-09-20,79594.1068584838
2023-09-21,79594.1068584838
2023-09-22,79594.1068584838
2023-09-23,79594.1068584838
