asset,entry_time,exit_time,direction,entry_zscore,hours_held,funding_pnl_pct,cost_pct,net_pnl_pct,exit_reason
DOGE-USDT-PERP,2023-11-07 08:00:00+00:00,2023-11-07 16:00:00+00:00,SHORT,1.341,8,0.01146,0.04,-0.02854,REVERT
DOGE-USDT-PERP,2023-11-08 16:00:00+00:00,2023-11-09 16:00:00+00:00,SHORT,1.839,24,0.08068,0.04,0.04068,TIMEOUT
DOGE-USDT-PERP,2023-11-09 16:00:00+00:00,2023-11-10 00:00:00+00:00,SHORT,1.957,8,0.01,0.04,-0.03,REVERT
DOGE-USDT-PERP,2023-11-10 08:00:00+00:00,2023-11-11 00:00:00+00:00,SHORT,1.467,15,0.0424,0.04,0.0024,REVERT
DOGE-USDT-PERP,2023-11-11 16:00:00+00:00,2023-11-12 16:00:00+00:00,SHORT,4.589,24,0.09477,0.04,0.05477,TIMEOUT
DOGE-USDT-PERP,2023-11-12 16:00:00+00:00,2023-11-13 16:00:00+00:00,SHORT,2.005,24,0.06559,0.04,0.02559,REVERT
DOGE-USDT-PERP,2023-11-16 08:00:00+00:00,2023-11-17 00:00:00+00:00,SHORT,1.639,16,0.04896,0.04,0.00896,REVERT
DOGE-USDT-PERP,2023-12-03 08:00:00+00:00,2023-12-03 16:00:00+00:00,SHORT,3.015,8,0.01332,0.04,-0.02668,REVERT
DOGE-USDT-PERP,2023-12-04 08:00:00+00:00,2023-12-05 08:00:00+00:00,SHORT,4.383,24,0.09495,0.04,0.05495,TIMEOUT
DOGE-USDT-PERP,2023-12-06 00:00:00+00:00,2023-12-07 00:00:00+00:00,SHORT,3.275,24,0.09152,0.04,0.05152,REVERT
DOGE-USDT-PERP,2023-12-08 00:00:00+00:00,2023-12-09 00:00:00+00:00,SHORT,1.23,24,0.10951,0.04,0.06951,TIMEOUT
DOGE-USDT-PERP,2023-12-09 00:00:00+00:00,2023-12-10 00:00:00+00:00,SHORT,1.689,24,0.17272,0.04,0.13272,TIMEOUT
DOGE-USDT-PERP,2023-12-10 08:00:00+00:00,2023-12-11 08:00:00+00:00,SHORT,1.69,24,0.09019,0.04,0.05019,REVERT
DOGE-USDT-PERP,2023-12-21 00:00:00+00:00,2023-12-22 00:00:00+00:00,SHORT,1.235,24,0.11408,0.04,0.07408,TIMEOUT
DOGE-USDT-PERP,2023-12-22 00:00:00+00:00,2023-12-23 01:00:00+00:00,SHORT,2.047,24,0.15986,0.04,0.11986,TIMEOUT
DOGE-USDT-PERP,2023-12-23 01:00:00+00:00,2023-12-23 08:00:00+00:00,SHORT,2.107,7,0.01655,0.04,-0.02345,REVERT
DOGE-USDT-PERP,2023-12-24 08:00:00+00:00,2023-12-25 00:00:00+00:00,SHORT,1.418,16,0.06376,0.04,0.02376,REVERT
DOGE-USDT-PERP,2023-12-25 16:00:00+00:00,2023-12-26 16:00:00+00:00,SHORT,2.054,24,0.15418,0.04,0.11418,TIMEOUT
